Algoritmo,Funcao_Custo,Funcao_Heuristica,Custo_Caminho,Nos_Gerados,Nos_Visitados,Caminho_Encontrado,Farmacias
Busca de Custo Uniforme,custo_c1,N/A,250,1610,1562,"[(9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (24, 18), (25, 18), (26, 18), (27, 18), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,250,391,331,"[(9, 18), (9, 17), (9, 16), (9, 15), (9, 14), (9, 13), (9, 12), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (15, 12), (16, 12), (17, 12), (18, 12), (19, 12), (20, 12), (21, 12), (22, 12), (23, 12), (24, 12), (25, 12), (26, 12), (27, 12), (28, 12)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,250,88,32,"[(9, 18), (9, 17), (9, 16), (9, 15), (9, 14), (9, 13), (9, 12), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (15, 12), (16, 12), (17, 12), (18, 12), (19, 12), (20, 12), (21, 12), (22, 12), (23, 12), (24, 12), (25, 12), (26, 12), (27, 12), (28, 12)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,345,1658,1618,"[(9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (24, 18), (25, 18), (26, 18), (27, 18), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,345,767,647,"[(9, 18), (9, 17), (9, 16), (9, 15), (9, 14), (9, 13), (9, 12), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (15, 12), (16, 12), (17, 12), (18, 12), (19, 12), (20, 12), (21, 12), (22, 12), (23, 12), (24, 12), (25, 12), (26, 12), (27, 12), (28, 12)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,345,482,318,"[(9, 18), (9, 17), (9, 16), (9, 15), (9, 14), (9, 13), (9, 12), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (15, 12), (16, 12), (17, 12), (18, 12), (19, 12), (20, 12), (21, 12), (22, 12), (23, 12), (24, 12), (25, 12), (26, 12), (27, 12), (28, 12)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,293,1643,1597,"[(9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (24, 18), (25, 18), (26, 18), (27, 18), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,293,552,458,"[(9, 18), (9, 17), (9, 16), (9, 15), (9, 14), (9, 13), (9, 12), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (15, 12), (16, 12), (17, 12), (18, 12), (19, 12), (20, 12), (21, 12), (22, 12), (23, 12), (24, 12), (25, 12), (26, 12), (27, 12), (28, 12)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,293,293,193,"[(9, 18), (9, 17), (9, 16), (9, 15), (9, 14), (9, 13), (9, 12), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (15, 12), (16, 12), (17, 12), (18, 12), (19, 12), (20, 12), (21, 12), (22, 12), (23, 12), (24, 12), (25, 12), (26, 12), (27, 12), (28, 12)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,245,1597,1534,"[(9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (24, 18), (25, 18), (26, 18), (27, 18), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,230,314,205,"[(9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (24, 18), (25, 18), (25, 17), (25, 16), (25, 15), (25, 14), (26, 14), (26, 13), (27, 13), (27, 12), (28, 12)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,225,76,26,"[(9, 18), (9, 17), (9, 16), (9, 15), (9, 14), (9, 13), (10, 13), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (15, 12), (16, 12), (17, 12), (18, 12), (19, 12), (20, 12), (21, 12), (22, 12), (23, 12), (24, 12), (25, 12), (26, 12), (27, 12), (28, 12)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,60,138,107,"[(25, 2), (26, 2), (27, 2), (28, 2), (28, 3), (28, 4), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,60,44,26,"[(25, 2), (26, 2), (27, 2), (28, 2), (28, 3), (28, 4), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,60,38,24,"[(25, 2), (26, 2), (27, 2), (28, 2), (28, 3), (28, 4), (28, 5)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,75,133,102,"[(25, 2), (26, 2), (27, 2), (28, 2), (28, 3), (28, 4), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,75,47,25,"[(25, 2), (25, 3), (25, 4), (25, 5), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,90,61,36,"[(25, 2), (26, 2), (27, 2), (28, 2), (28, 3), (28, 4), (28, 5)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,63,128,97,"[(25, 2), (26, 2), (27, 2), (28, 2), (28, 3), (28, 4), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,75,53,32,"[(25, 2), (26, 2), (27, 2), (28, 2), (28, 3), (28, 4), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,72,30,14,"[(25, 2), (25, 3), (25, 4), (26, 4), (27, 4), (28, 4), (28, 5)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,69,126,92,"[(25, 2), (26, 2), (27, 2), (28, 2), (28, 3), (28, 4), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,60,33,14,"[(25, 2), (25, 3), (25, 4), (25, 5), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,60,19,7,"[(25, 2), (25, 3), (25, 4), (25, 5), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,330,1549,1500,"[(0, 16), (1, 16), (2, 16), (3, 16), (4, 16), (5, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16), (13, 16), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (19, 15), (19, 14), (19, 13), (19, 12), (19, 11), (19, 10), (19, 9), (19, 8), (19, 7), (19, 6), (19, 5), (19, 4), (19, 3), (19, 2)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,330,701,645,"[(0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,330,113,48,"[(0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,425,1448,1398,"[(0, 16), (1, 16), (2, 16), (3, 16), (4, 16), (5, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16), (13, 16), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (19, 15), (19, 14), (19, 13), (19, 12), (19, 11), (19, 10), (19, 9), (19, 8), (19, 7), (19, 6), (19, 5), (19, 4), (19, 3), (19, 2)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,425,850,785,"[(0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,425,686,425,"[(0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,373,1468,1414,"[(0, 16), (1, 16), (2, 16), (3, 16), (4, 16), (5, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16), (13, 16), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (19, 15), (19, 14), (19, 13), (19, 12), (19, 11), (19, 10), (19, 9), (19, 8), (19, 7), (19, 6), (19, 5), (19, 4), (19, 3), (19, 2)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,381,826,764,"[(0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5), (13, 5), (14, 5), (15, 5), (16, 5), (17, 5), (18, 5), (18, 4), (18, 3), (18, 2), (19, 2)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,375,576,409,"[(0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,325,1476,1414,"[(0, 16), (1, 16), (2, 16), (3, 16), (4, 16), (5, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16), (13, 16), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (19, 15), (19, 14), (19, 13), (19, 12), (19, 11), (19, 10), (19, 9), (19, 8), (19, 7), (19, 6), (19, 5), (19, 4), (19, 3), (19, 2)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,305,711,610,"[(0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (1, 11), (1, 10), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (6, 8), (6, 7), (6, 6), (6, 5), (6, 4), (6, 3), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,311,217,109,"[(0, 16), (0, 15), (0, 14), (0, 13), (0, 12), (0, 11), (1, 11), (1, 10), (2, 10), (2, 9), (3, 9), (3, 8), (4, 8), (4, 7), (5, 7), (6, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (17, 2), (18, 2), (19, 2)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,260,1539,1488,"[(21, 22), (21, 21), (21, 20), (21, 19), (21, 18), (21, 17), (21, 16), (21, 15), (21, 14), (21, 13), (21, 12), (21, 11), (21, 10), (21, 9), (21, 8), (21, 7), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,260,474,408,"[(21, 22), (21, 21), (21, 20), (21, 19), (21, 18), (21, 17), (21, 16), (21, 15), (21, 14), (21, 13), (21, 12), (21, 11), (21, 10), (21, 9), (21, 8), (21, 7), (20, 7), (19, 7), (18, 7), (17, 7), (16, 7), (15, 7), (14, 7), (13, 7), (12, 7), (11, 7), (11, 6)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,260,79,27,"[(21, 22), (20, 22), (19, 22), (18, 22), (17, 22), (16, 22), (15, 22), (14, 22), (13, 22), (12, 22), (11, 22), (11, 21), (11, 20), (11, 19), (11, 18), (11, 17), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,310,1465,1407,"[(21, 22), (20, 22), (19, 22), (18, 22), (17, 22), (16, 22), (15, 22), (14, 22), (13, 22), (12, 22), (11, 22), (11, 21), (11, 20), (11, 19), (11, 18), (11, 17), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,315,618,521,"[(21, 22), (20, 22), (19, 22), (18, 22), (17, 22), (16, 22), (16, 21), (16, 20), (16, 19), (16, 18), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (15, 7), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,310,270,122,"[(21, 22), (21, 21), (21, 20), (21, 19), (21, 18), (21, 17), (21, 16), (21, 15), (21, 14), (21, 13), (21, 12), (21, 11), (21, 10), (21, 9), (21, 8), (21, 7), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,283,1500,1430,"[(21, 22), (20, 22), (19, 22), (18, 22), (17, 22), (16, 22), (15, 22), (14, 22), (13, 22), (12, 22), (11, 22), (11, 21), (11, 20), (11, 19), (11, 18), (11, 17), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,279,524,426,"[(21, 22), (20, 22), (19, 22), (19, 21), (19, 20), (18, 20), (17, 20), (16, 20), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (15, 15), (15, 14), (14, 14), (13, 14), (13, 13), (13, 12), (13, 11), (13, 10), (12, 10), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,282,314,158,"[(21, 22), (21, 21), (21, 20), (21, 19), (21, 18), (21, 17), (21, 16), (21, 15), (21, 14), (20, 14), (19, 14), (18, 14), (17, 14), (16, 14), (15, 14), (15, 13), (14, 13), (14, 12), (14, 11), (14, 10), (14, 9), (13, 9), (12, 9), (11, 9), (11, 8), (11, 7), (11, 6)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,259,1515,1454,"[(21, 22), (21, 21), (21, 20), (21, 19), (21, 18), (21, 17), (21, 16), (21, 15), (21, 14), (21, 13), (21, 12), (21, 11), (21, 10), (21, 9), (21, 8), (21, 7), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,222,254,157,"[(21, 22), (21, 21), (21, 20), (21, 19), (21, 18), (21, 17), (21, 16), (20, 16), (20, 15), (19, 15), (19, 14), (18, 14), (17, 14), (16, 14), (15, 14), (15, 13), (15, 12), (15, 11), (15, 10), (15, 9), (15, 8), (14, 8), (13, 8), (12, 8), (12, 7), (11, 7), (11, 6)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,235,79,27,"[(21, 22), (21, 21), (21, 20), (21, 19), (21, 18), (20, 18), (19, 18), (18, 18), (17, 18), (16, 18), (15, 18), (14, 18), (13, 18), (12, 18), (11, 18), (11, 17), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,30,43,23,"[(17, 3), (17, 2), (17, 1), (16, 1)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,30,10,4,"[(17, 3), (17, 2), (16, 2), (16, 1)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,30,10,4,"[(17, 3), (16, 3), (16, 2), (16, 1)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,35,41,20,"[(17, 3), (16, 3), (16, 2), (16, 1)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,35,10,4,"[(17, 3), (17, 2), (17, 1), (16, 1)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,35,10,4,"[(17, 3), (17, 2), (17, 1), (16, 1)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,32,36,18,"[(17, 3), (16, 3), (16, 2), (16, 1)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,30,10,4,"[(17, 3), (17, 2), (17, 1), (16, 1)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,30,10,4,"[(17, 3), (17, 2), (17, 1), (16, 1)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,34,41,20,"[(17, 3), (16, 3), (16, 2), (16, 1)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,32,10,4,"[(17, 3), (17, 2), (17, 1), (16, 1)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,32,10,4,"[(17, 3), (17, 2), (17, 1), (16, 1)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,90,256,213,"[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (27, 13), (26, 13), (25, 13)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,90,58,36,"[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (27, 14), (26, 14), (25, 14), (25, 13)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,90,28,10,"[(28, 19), (27, 19), (26, 19), (25, 19), (25, 18), (25, 17), (25, 16), (25, 15), (25, 14), (25, 13)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,105,248,203,"[(28, 19), (27, 19), (26, 19), (25, 19), (25, 18), (25, 17), (25, 16), (25, 15), (25, 14), (25, 13)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,110,85,47,"[(28, 19), (27, 19), (26, 19), (26, 18), (26, 17), (26, 16), (26, 15), (26, 14), (26, 13), (25, 13)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,105,40,16,"[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (27, 13), (26, 13), (25, 13)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,93,246,199,"[(28, 19), (27, 19), (26, 19), (25, 19), (25, 18), (25, 17), (25, 16), (25, 15), (25, 14), (25, 13)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,93,57,29,"[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (27, 13), (26, 13), (25, 13)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,93,35,13,"[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (27, 13), (26, 13), (25, 13)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,81,242,193,"[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (27, 13), (26, 13), (25, 13)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,80,38,17,"[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (27, 14), (26, 14), (25, 14), (25, 13)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,84,28,10,"[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (27, 15), (26, 15), (25, 15), (25, 14), (25, 13)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,130,723,642,"[(21, 19), (22, 19), (23, 19), (24, 19), (25, 19), (26, 19), (27, 19), (28, 19), (29, 19), (30, 19), (30, 20), (30, 21), (30, 22), (30, 23)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,130,134,104,"[(21, 19), (22, 19), (23, 19), (24, 19), (25, 19), (26, 19), (27, 19), (28, 19), (29, 19), (30, 19), (30, 20), (30, 21), (30, 22), (30, 23)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,130,109,85,"[(21, 19), (22, 19), (23, 19), (24, 19), (25, 19), (26, 19), (27, 19), (28, 19), (29, 19), (30, 19), (30, 20), (30, 21), (30, 22), (30, 23)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,175,805,724,"[(21, 19), (22, 19), (23, 19), (24, 19), (25, 19), (26, 19), (27, 19), (28, 19), (29, 19), (30, 19), (30, 20), (30, 21), (30, 22), (30, 23)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,180,214,157,"[(21, 19), (21, 20), (21, 21), (21, 22), (22, 22), (23, 22), (24, 22), (25, 22), (26, 22), (27, 22), (28, 22), (29, 22), (30, 22), (30, 23)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,195,207,157,"[(21, 19), (22, 19), (23, 19), (24, 19), (25, 19), (26, 19), (27, 19), (28, 19), (29, 19), (30, 19), (30, 20), (30, 21), (30, 22), (30, 23)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,148,734,654,"[(21, 19), (22, 19), (23, 19), (24, 19), (25, 19), (26, 19), (27, 19), (28, 19), (29, 19), (30, 19), (30, 20), (30, 21), (30, 22), (30, 23)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,154,178,135,"[(21, 19), (21, 20), (21, 21), (21, 22), (21, 23), (22, 23), (23, 23), (24, 23), (25, 23), (26, 23), (27, 23), (28, 23), (29, 23), (30, 23)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,159,116,67,"[(21, 19), (21, 20), (21, 21), (22, 21), (23, 21), (24, 21), (25, 21), (26, 21), (27, 21), (28, 21), (29, 21), (30, 21), (30, 22), (30, 23)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,130,622,537,"[(21, 19), (22, 19), (23, 19), (24, 19), (25, 19), (26, 19), (27, 19), (28, 19), (29, 19), (30, 19), (30, 20), (30, 21), (30, 22), (30, 23)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,109,61,26,"[(21, 19), (21, 20), (21, 21), (22, 21), (23, 21), (24, 21), (25, 21), (26, 21), (27, 21), (28, 21), (28, 22), (29, 22), (29, 23), (30, 23)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,106,40,14,"[(21, 19), (21, 20), (21, 21), (21, 22), (21, 23), (22, 23), (23, 23), (24, 23), (25, 23), (26, 23), (27, 23), (28, 23), (29, 23), (30, 23)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,210,1332,1259,"[(18, 9), (18, 10), (18, 11), (18, 12), (18, 13), (18, 14), (18, 15), (17, 15), (16, 15), (15, 15), (14, 15), (13, 15), (12, 15), (11, 15), (10, 15), (9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 15)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,210,285,233,"[(18, 9), (17, 9), (16, 9), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,210,64,22,"[(18, 9), (17, 9), (16, 9), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,285,1489,1424,"[(18, 9), (17, 9), (16, 9), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,290,564,471,"[(18, 9), (17, 9), (16, 9), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,290,389,319,"[(18, 9), (17, 9), (16, 9), (16, 10), (15, 10), (14, 10), (13, 10), (12, 10), (11, 10), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (4, 10), (3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,243,1426,1347,"[(18, 9), (17, 9), (16, 9), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15)]",resultados_experimento_2.csv
