Algoritmo,Funcao_Custo,Funcao_Heuristica,Custo_Caminho,Nos_Gerados,Nos_Visitados,Caminho_Encontrado,Farmacias
Busca A*,custo_c4,heuristica_manhattan,315,111,38,"[(16, 30), (16, 29), (16, 28), (16, 27), (16, 26), (16, 25), (17, 25), (17, 24), (18, 24), (18, 23), (19, 23), (19, 22), (20, 22), (20, 21), (21, 21), (21, 20), (21, 19), (21, 18), (21, 17), (21, 16), (21, 15), (22, 15), (22, 14), (23, 14), (23, 13), (24, 13), (24, 12), (24, 11), (24, 10), (24, 9), (24, 8), (24, 7), (25, 7), (25, 6), (26, 6), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,90,322,272,"[(4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,90,61,41,"[(4, 9), (4, 8), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,90,32,12,"[(4, 9), (4, 8), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,125,385,335,"[(4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,135,138,95,"[(4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,125,63,30,"[(4, 9), (4, 8), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,107,322,272,"[(4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,105,76,49,"[(4, 9), (4, 8), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,105,32,12,"[(4, 9), (4, 8), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,97,306,243,"[(4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,86,44,19,"[(4, 9), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (10, 7), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,83,30,11,"[(4, 9), (4, 8), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,110,571,483,"[(13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (23, 19)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,110,55,31,"[(13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (23, 19)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,110,55,31,"[(13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (23, 19)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,160,729,636,"[(13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (23, 19)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,165,159,107,"[(13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (23, 19)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,165,121,80,"[(13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (23, 19)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,133,670,570,"[(13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (23, 19)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,137,104,68,"[(13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (23, 19)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,135,57,24,"[(13, 18), (13, 19), (14, 19), (15, 19), (16, 19), (17, 19), (18, 19), (19, 19), (20, 19), (21, 19), (22, 19), (23, 19)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,105,540,443,"[(13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (23, 19)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,101,37,13,"[(13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (22, 19), (23, 19)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,97,36,13,"[(13, 18), (13, 19), (14, 19), (15, 19), (16, 19), (17, 19), (18, 19), (19, 19), (20, 19), (21, 19), (22, 19), (23, 19)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,20,26,12,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,20,7,3,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,20,7,3,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,20,19,7,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,20,7,3,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,20,7,3,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,20,19,7,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,20,7,3,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,20,7,3,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,20,19,7,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,20,7,3,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,20,7,3,"[(27, 10), (27, 11), (27, 12)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,30,37,22,"[(29, 26), (29, 25), (29, 24), (28, 24)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,30,10,4,"[(29, 26), (29, 25), (28, 25), (28, 24)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,30,10,4,"[(29, 26), (28, 26), (28, 25), (28, 24)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,35,36,19,"[(29, 26), (28, 26), (28, 25), (28, 24)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,35,10,4,"[(29, 26), (29, 25), (29, 24), (28, 24)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,35,10,4,"[(29, 26), (29, 25), (29, 24), (28, 24)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,32,30,17,"[(29, 26), (28, 26), (28, 25), (28, 24)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,30,10,4,"[(29, 26), (29, 25), (29, 24), (28, 24)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,30,10,4,"[(29, 26), (29, 25), (29, 24), (28, 24)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,34,36,19,"[(29, 26), (28, 26), (28, 25), (28, 24)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,32,10,4,"[(29, 26), (29, 25), (29, 24), (28, 24)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,32,10,4,"[(29, 26), (29, 25), (29, 24), (28, 24)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,60,157,127,"[(4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 5), (8, 6)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,60,39,23,"[(4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 5), (8, 6)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,60,36,22,"[(4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 5), (8, 6)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,80,171,137,"[(4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 5), (8, 6)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,90,71,44,"[(4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 5), (8, 6)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,90,57,33,"[(4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 5), (8, 6)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,68,157,124,"[(4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 5), (8, 6)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,75,51,30,"[(4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 5), (8, 6)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,72,23,9,"[(4, 4), (4, 5), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,70,157,120,"[(4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (8, 5), (8, 6)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,62,33,15,"[(4, 4), (4, 5), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,62,21,8,"[(4, 4), (4, 5), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,220,890,831,"[(3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25), (13, 25), (14, 25), (15, 25), (16, 25), (17, 25), (18, 25), (18, 24), (18, 23), (18, 22), (18, 21), (18, 20), (18, 19), (18, 18)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,220,346,292,"[(3, 25), (3, 24), (3, 23), (3, 22), (3, 21), (3, 20), (3, 19), (3, 18), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,220,81,30,"[(3, 25), (3, 24), (3, 23), (3, 22), (3, 21), (3, 20), (3, 19), (3, 18), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,295,980,932,"[(3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25), (13, 25), (14, 25), (15, 25), (16, 25), (17, 25), (18, 25), (18, 24), (18, 23), (18, 22), (18, 21), (18, 20), (18, 19), (18, 18)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,295,535,462,"[(3, 25), (3, 24), (3, 23), (3, 22), (3, 21), (3, 20), (3, 19), (3, 18), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,295,369,220,"[(3, 25), (3, 24), (3, 23), (3, 22), (3, 21), (3, 20), (3, 19), (3, 18), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,253,894,836,"[(3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25), (13, 25), (14, 25), (15, 25), (16, 25), (17, 25), (18, 25), (18, 24), (18, 23), (18, 22), (18, 21), (18, 20), (18, 19), (18, 18)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,252,429,360,"[(3, 25), (3, 24), (3, 23), (3, 22), (3, 21), (3, 20), (3, 19), (3, 18), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,252,232,133,"[(3, 25), (3, 24), (3, 23), (3, 22), (3, 21), (3, 20), (3, 19), (3, 18), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,205,804,734,"[(3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25), (13, 25), (14, 25), (15, 25), (16, 25), (17, 25), (18, 25), (18, 24), (18, 23), (18, 22), (18, 21), (18, 20), (18, 19), (18, 18)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,201,332,233,"[(3, 25), (3, 24), (3, 23), (3, 22), (3, 21), (4, 21), (5, 21), (5, 20), (6, 20), (6, 19), (7, 19), (8, 19), (9, 19), (10, 19), (11, 19), (12, 19), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,201,69,24,"[(3, 25), (3, 24), (3, 23), (3, 22), (3, 21), (3, 20), (4, 20), (4, 19), (5, 19), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,210,1172,1106,"[(19, 6), (19, 7), (19, 8), (19, 9), (19, 10), (19, 11), (19, 12), (19, 13), (19, 14), (19, 15), (19, 16), (19, 17), (19, 18), (18, 18), (17, 18), (16, 18), (15, 18), (14, 18), (13, 18), (12, 18), (11, 18), (10, 18)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,210,340,286,"[(19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (10, 7), (10, 8), (10, 9), (10, 10), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (10, 18)]",resultados_experimento_2.csv
